scope	started_at_utc	completed_at_utc	exit_status	command
session_validation	2026-07-28T20:05:04Z	2026-07-28T20:05:04Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py validate-session --startup-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-01-cpu2_ram2gb/startup_measurements.csv --graph-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-01-cpu2_ram2gb/graph_measurements.csv --session-id c7a54180-af91-4bf6-987e-385ad7795e42 --node-order 1\,12\,25\,50 --require-success
emulator_start	2026-07-28T20:05:06Z	2026-07-28T20:05:06Z	0	taskset -c 4-11 /home/why/Android/Sdk/emulator/emulator -avd Mneme_Factorial_API_34_Pixel6 -cores 2 -memory 6144 -wipe-data -no-window -no-audio -no-boot-anim -no-snapshot -gpu swiftshader_indirect
startup_benchmark	2026-07-28T20:06:01Z	2026-07-28T20:08:07Z	0	timeout 6m /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/gradlew -p /home/why/Project/ece441/mid_report/MNEME-e4-formal/android --offline --no-daemon --no-configuration-cache -PMNEME_API_BASE_URL=http://127.0.0.1:9/v1/ -PMNEME_DEMO_TOKEN= :benchmark:connectedBenchmarkAndroidTest -Pandroid.testInstrumentationRunnerArguments.class=com.mneme.app.benchmark.MnemeStartupBenchmark
startup_extract	2026-07-28T20:08:07Z	2026-07-28T20:08:07Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py extract-startup --benchmark-data /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-02-cpu2_ram6gb/startup_raw --session-id 9a0cde26-6c90-49d1-843e-8cf269759288 --benchmark-exit-status 0 --output /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-02-cpu2_ram6gb/startup_measurements.csv --cold-metric timeToFullDisplayMs --resume-metric timeToInitialDisplayMs
graph_app_install	2026-07-28T20:08:07Z	2026-07-28T20:08:07Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/debug/app-debug.apk
graph_test_install	2026-07-28T20:08:07Z	2026-07-28T20:08:08Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/androidTest/debug/app-debug-androidTest.apk
graph_app_clear	2026-07-28T20:08:08Z	2026-07-28T20:08:08Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell pm clear com.mneme.app
graph_artifact_reset	2026-07-28T20:08:08Z	2026-07-28T20:08:08Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell rm -rf /sdcard/Android/data/com.mneme.app/files/e4-evaluation
graph_instrumentation	2026-07-28T20:08:08Z	2026-07-28T20:08:17Z	0	timeout 4m /home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell am instrument -w -r -e class com.mneme.app.ui.graph.E4GraphMeasurementTest#recordBoundedRendererLatency -e e4SessionId 9a0cde26-6c90-49d1-843e-8cf269759288 -e e4GraphNodeOrder 1\,12\,25\,50 -e e4GraphWarmupPairs 1 -e e4GraphMeasuredPairs 5 com.mneme.app.test/androidx.test.runner.AndroidJUnitRunner
graph_pull	2026-07-28T20:08:17Z	2026-07-28T20:08:17Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 pull /sdcard/Android/data/com.mneme.app/files/e4-evaluation/. /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-02-cpu2_ram6gb/graph_device_artifacts/
session_validation	2026-07-28T20:08:17Z	2026-07-28T20:08:17Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py validate-session --startup-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-02-cpu2_ram6gb/startup_measurements.csv --graph-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-02-cpu2_ram6gb/graph_measurements.csv --session-id 9a0cde26-6c90-49d1-843e-8cf269759288 --node-order 1\,12\,25\,50 --require-success
emulator_start	2026-07-28T20:08:19Z	2026-07-28T20:08:19Z	0	taskset -c 4-11 /home/why/Android/Sdk/emulator/emulator -avd Mneme_Factorial_API_34_Pixel6 -cores 4 -memory 6144 -wipe-data -no-window -no-audio -no-boot-anim -no-snapshot -gpu swiftshader_indirect
startup_benchmark	2026-07-28T20:09:07Z	2026-07-28T20:10:58Z	0	timeout 6m /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/gradlew -p /home/why/Project/ece441/mid_report/MNEME-e4-formal/android --offline --no-daemon --no-configuration-cache -PMNEME_API_BASE_URL=http://127.0.0.1:9/v1/ -PMNEME_DEMO_TOKEN= :benchmark:connectedBenchmarkAndroidTest -Pandroid.testInstrumentationRunnerArguments.class=com.mneme.app.benchmark.MnemeStartupBenchmark
startup_extract	2026-07-28T20:10:58Z	2026-07-28T20:10:58Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py extract-startup --benchmark-data /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-03-cpu4_ram6gb/startup_raw --session-id fe0bc116-4159-47e1-a346-f93869d45a1f --benchmark-exit-status 0 --output /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-03-cpu4_ram6gb/startup_measurements.csv --cold-metric timeToFullDisplayMs --resume-metric timeToInitialDisplayMs
graph_app_install	2026-07-28T20:10:58Z	2026-07-28T20:10:58Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/debug/app-debug.apk
graph_test_install	2026-07-28T20:10:58Z	2026-07-28T20:10:58Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/androidTest/debug/app-debug-androidTest.apk
graph_app_clear	2026-07-28T20:10:58Z	2026-07-28T20:10:58Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell pm clear com.mneme.app
graph_artifact_reset	2026-07-28T20:10:58Z	2026-07-28T20:10:58Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell rm -rf /sdcard/Android/data/com.mneme.app/files/e4-evaluation
graph_instrumentation	2026-07-28T20:10:58Z	2026-07-28T20:11:07Z	0	timeout 4m /home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell am instrument -w -r -e class com.mneme.app.ui.graph.E4GraphMeasurementTest#recordBoundedRendererLatency -e e4SessionId fe0bc116-4159-47e1-a346-f93869d45a1f -e e4GraphNodeOrder 1\,12\,25\,50 -e e4GraphWarmupPairs 1 -e e4GraphMeasuredPairs 5 com.mneme.app.test/androidx.test.runner.AndroidJUnitRunner
graph_pull	2026-07-28T20:11:07Z	2026-07-28T20:11:07Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 pull /sdcard/Android/data/com.mneme.app/files/e4-evaluation/. /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-03-cpu4_ram6gb/graph_device_artifacts/
session_validation	2026-07-28T20:11:07Z	2026-07-28T20:11:07Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py validate-session --startup-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-03-cpu4_ram6gb/startup_measurements.csv --graph-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-03-cpu4_ram6gb/graph_measurements.csv --session-id fe0bc116-4159-47e1-a346-f93869d45a1f --node-order 1\,12\,25\,50 --require-success
emulator_start	2026-07-28T20:11:09Z	2026-07-28T20:11:09Z	0	taskset -c 4-11 /home/why/Android/Sdk/emulator/emulator -avd Mneme_Factorial_API_34_Pixel6 -cores 4 -memory 2048 -wipe-data -no-window -no-audio -no-boot-anim -no-snapshot -gpu swiftshader_indirect
startup_benchmark	2026-07-28T20:11:59Z	2026-07-28T20:13:56Z	0	timeout 6m /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/gradlew -p /home/why/Project/ece441/mid_report/MNEME-e4-formal/android --offline --no-daemon --no-configuration-cache -PMNEME_API_BASE_URL=http://127.0.0.1:9/v1/ -PMNEME_DEMO_TOKEN= :benchmark:connectedBenchmarkAndroidTest -Pandroid.testInstrumentationRunnerArguments.class=com.mneme.app.benchmark.MnemeStartupBenchmark
startup_extract	2026-07-28T20:13:56Z	2026-07-28T20:13:56Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py extract-startup --benchmark-data /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-04-cpu4_ram2gb/startup_raw --session-id e048bbc6-e78b-4d5f-a870-52ecf430c0f0 --benchmark-exit-status 0 --output /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-04-cpu4_ram2gb/startup_measurements.csv --cold-metric timeToFullDisplayMs --resume-metric timeToInitialDisplayMs
graph_app_install	2026-07-28T20:13:56Z	2026-07-28T20:13:56Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/debug/app-debug.apk
graph_test_install	2026-07-28T20:13:56Z	2026-07-28T20:13:56Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/androidTest/debug/app-debug-androidTest.apk
graph_app_clear	2026-07-28T20:13:56Z	2026-07-28T20:13:56Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell pm clear com.mneme.app
graph_artifact_reset	2026-07-28T20:13:56Z	2026-07-28T20:13:56Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell rm -rf /sdcard/Android/data/com.mneme.app/files/e4-evaluation
graph_instrumentation	2026-07-28T20:13:56Z	2026-07-28T20:14:05Z	0	timeout 4m /home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell am instrument -w -r -e class com.mneme.app.ui.graph.E4GraphMeasurementTest#recordBoundedRendererLatency -e e4SessionId e048bbc6-e78b-4d5f-a870-52ecf430c0f0 -e e4GraphNodeOrder 1\,12\,25\,50 -e e4GraphWarmupPairs 1 -e e4GraphMeasuredPairs 5 com.mneme.app.test/androidx.test.runner.AndroidJUnitRunner
graph_pull	2026-07-28T20:14:05Z	2026-07-28T20:14:05Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 pull /sdcard/Android/data/com.mneme.app/files/e4-evaluation/. /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-04-cpu4_ram2gb/graph_device_artifacts/
session_validation	2026-07-28T20:14:05Z	2026-07-28T20:14:05Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py validate-session --startup-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-04-cpu4_ram2gb/startup_measurements.csv --graph-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-01-position-04-cpu4_ram2gb/graph_measurements.csv --session-id e048bbc6-e78b-4d5f-a870-52ecf430c0f0 --node-order 1\,12\,25\,50 --require-success
emulator_start	2026-07-28T20:14:08Z	2026-07-28T20:14:08Z	0	taskset -c 4-11 /home/why/Android/Sdk/emulator/emulator -avd Mneme_Factorial_API_34_Pixel6 -cores 4 -memory 2048 -wipe-data -no-window -no-audio -no-boot-anim -no-snapshot -gpu swiftshader_indirect
startup_benchmark	2026-07-28T20:14:55Z	2026-07-28T20:16:53Z	0	timeout 6m /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/gradlew -p /home/why/Project/ece441/mid_report/MNEME-e4-formal/android --offline --no-daemon --no-configuration-cache -PMNEME_API_BASE_URL=http://127.0.0.1:9/v1/ -PMNEME_DEMO_TOKEN= :benchmark:connectedBenchmarkAndroidTest -Pandroid.testInstrumentationRunnerArguments.class=com.mneme.app.benchmark.MnemeStartupBenchmark
startup_extract	2026-07-28T20:16:53Z	2026-07-28T20:16:53Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py extract-startup --benchmark-data /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-01-cpu4_ram2gb/startup_raw --session-id ee24d0da-3af1-4226-b22f-3ff9d86b288b --benchmark-exit-status 0 --output /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-01-cpu4_ram2gb/startup_measurements.csv --cold-metric timeToFullDisplayMs --resume-metric timeToInitialDisplayMs
graph_app_install	2026-07-28T20:16:53Z	2026-07-28T20:16:53Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/debug/app-debug.apk
graph_test_install	2026-07-28T20:16:53Z	2026-07-28T20:16:53Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/androidTest/debug/app-debug-androidTest.apk
graph_app_clear	2026-07-28T20:16:53Z	2026-07-28T20:16:53Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell pm clear com.mneme.app
graph_artifact_reset	2026-07-28T20:16:53Z	2026-07-28T20:16:53Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell rm -rf /sdcard/Android/data/com.mneme.app/files/e4-evaluation
graph_instrumentation	2026-07-28T20:16:53Z	2026-07-28T20:17:02Z	0	timeout 4m /home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell am instrument -w -r -e class com.mneme.app.ui.graph.E4GraphMeasurementTest#recordBoundedRendererLatency -e e4SessionId ee24d0da-3af1-4226-b22f-3ff9d86b288b -e e4GraphNodeOrder 50\,25\,12\,1 -e e4GraphWarmupPairs 1 -e e4GraphMeasuredPairs 5 com.mneme.app.test/androidx.test.runner.AndroidJUnitRunner
graph_pull	2026-07-28T20:17:02Z	2026-07-28T20:17:02Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 pull /sdcard/Android/data/com.mneme.app/files/e4-evaluation/. /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-01-cpu4_ram2gb/graph_device_artifacts/
session_validation	2026-07-28T20:17:02Z	2026-07-28T20:17:02Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py validate-session --startup-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-01-cpu4_ram2gb/startup_measurements.csv --graph-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-01-cpu4_ram2gb/graph_measurements.csv --session-id ee24d0da-3af1-4226-b22f-3ff9d86b288b --node-order 50\,25\,12\,1 --require-success
emulator_start	2026-07-28T20:17:04Z	2026-07-28T20:17:04Z	0	taskset -c 4-11 /home/why/Android/Sdk/emulator/emulator -avd Mneme_Factorial_API_34_Pixel6 -cores 4 -memory 6144 -wipe-data -no-window -no-audio -no-boot-anim -no-snapshot -gpu swiftshader_indirect
startup_benchmark	2026-07-28T20:17:52Z	2026-07-28T20:19:44Z	0	timeout 6m /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/gradlew -p /home/why/Project/ece441/mid_report/MNEME-e4-formal/android --offline --no-daemon --no-configuration-cache -PMNEME_API_BASE_URL=http://127.0.0.1:9/v1/ -PMNEME_DEMO_TOKEN= :benchmark:connectedBenchmarkAndroidTest -Pandroid.testInstrumentationRunnerArguments.class=com.mneme.app.benchmark.MnemeStartupBenchmark
startup_extract	2026-07-28T20:19:44Z	2026-07-28T20:19:44Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py extract-startup --benchmark-data /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-02-cpu4_ram6gb/startup_raw --session-id 4e7f91e2-7142-4cfc-8cd0-291c8ad03460 --benchmark-exit-status 0 --output /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-02-cpu4_ram6gb/startup_measurements.csv --cold-metric timeToFullDisplayMs --resume-metric timeToInitialDisplayMs
graph_app_install	2026-07-28T20:19:44Z	2026-07-28T20:19:45Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/debug/app-debug.apk
graph_test_install	2026-07-28T20:19:45Z	2026-07-28T20:19:45Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/androidTest/debug/app-debug-androidTest.apk
graph_app_clear	2026-07-28T20:19:45Z	2026-07-28T20:19:45Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell pm clear com.mneme.app
graph_artifact_reset	2026-07-28T20:19:45Z	2026-07-28T20:19:45Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell rm -rf /sdcard/Android/data/com.mneme.app/files/e4-evaluation
graph_instrumentation	2026-07-28T20:19:45Z	2026-07-28T20:19:53Z	0	timeout 4m /home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell am instrument -w -r -e class com.mneme.app.ui.graph.E4GraphMeasurementTest#recordBoundedRendererLatency -e e4SessionId 4e7f91e2-7142-4cfc-8cd0-291c8ad03460 -e e4GraphNodeOrder 50\,25\,12\,1 -e e4GraphWarmupPairs 1 -e e4GraphMeasuredPairs 5 com.mneme.app.test/androidx.test.runner.AndroidJUnitRunner
graph_pull	2026-07-28T20:19:53Z	2026-07-28T20:19:53Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 pull /sdcard/Android/data/com.mneme.app/files/e4-evaluation/. /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-02-cpu4_ram6gb/graph_device_artifacts/
session_validation	2026-07-28T20:19:53Z	2026-07-28T20:19:53Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py validate-session --startup-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-02-cpu4_ram6gb/startup_measurements.csv --graph-csv /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-02-cpu4_ram6gb/graph_measurements.csv --session-id 4e7f91e2-7142-4cfc-8cd0-291c8ad03460 --node-order 50\,25\,12\,1 --require-success
emulator_start	2026-07-28T20:19:56Z	2026-07-28T20:19:56Z	0	taskset -c 4-11 /home/why/Android/Sdk/emulator/emulator -avd Mneme_Factorial_API_34_Pixel6 -cores 2 -memory 6144 -wipe-data -no-window -no-audio -no-boot-anim -no-snapshot -gpu swiftshader_indirect
startup_benchmark	2026-07-28T20:20:45Z	2026-07-28T20:22:58Z	0	timeout 6m /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/gradlew -p /home/why/Project/ece441/mid_report/MNEME-e4-formal/android --offline --no-daemon --no-configuration-cache -PMNEME_API_BASE_URL=http://127.0.0.1:9/v1/ -PMNEME_DEMO_TOKEN= :benchmark:connectedBenchmarkAndroidTest -Pandroid.testInstrumentationRunnerArguments.class=com.mneme.app.benchmark.MnemeStartupBenchmark
startup_extract	2026-07-28T20:22:58Z	2026-07-28T20:22:58Z	0	python3 /home/why/Project/ece441/mid_report/MNEME-e4-formal/tools/evaluation/analyze_android_formal_resource_matrix.py extract-startup --benchmark-data /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-03-cpu2_ram6gb/startup_raw --session-id 16cbec2c-2420-4809-bb0b-74baa80b4389 --benchmark-exit-status 0 --output /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-03-cpu2_ram6gb/startup_measurements.csv --cold-metric timeToFullDisplayMs --resume-metric timeToInitialDisplayMs
graph_app_install	2026-07-28T20:22:58Z	2026-07-28T20:22:59Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/debug/app-debug.apk
graph_test_install	2026-07-28T20:22:59Z	2026-07-28T20:22:59Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 install -r -t /home/why/Project/ece441/mid_report/MNEME-e4-formal/android/app/build/outputs/apk/androidTest/debug/app-debug-androidTest.apk
graph_app_clear	2026-07-28T20:22:59Z	2026-07-28T20:22:59Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell pm clear com.mneme.app
graph_artifact_reset	2026-07-28T20:22:59Z	2026-07-28T20:22:59Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell rm -rf /sdcard/Android/data/com.mneme.app/files/e4-evaluation
graph_instrumentation	2026-07-28T20:22:59Z	2026-07-28T20:23:08Z	0	timeout 4m /home/why/Android/Sdk/platform-tools/adb -s emulator-5554 shell am instrument -w -r -e class com.mneme.app.ui.graph.E4GraphMeasurementTest#recordBoundedRendererLatency -e e4SessionId 16cbec2c-2420-4809-bb0b-74baa80b4389 -e e4GraphNodeOrder 50\,25\,12\,1 -e e4GraphWarmupPairs 1 -e e4GraphMeasuredPairs 5 com.mneme.app.test/androidx.test.runner.AndroidJUnitRunner
graph_pull	2026-07-28T20:23:08Z	2026-07-28T20:23:08Z	0	/home/why/Android/Sdk/platform-tools/adb -s emulator-5554 pull /sdcard/Android/data/com.mneme.app/files/e4-evaluation/. /home/why/Project/ece441/mid_report/MNEME-e4-formal/docs/evaluation/android-formal/raw/resource-formal-20260729-r2/sessions/block-02-position-03-cpu2_ram6gb/graph_device_artifacts/
